Market Name,Self Reported Tags
Balancer,"['Decentralized Exchange (DEX) Token', 'DeFi', 'DAO', 'Yield Farming', 'AMM', 'Three Arrows Capital Portfolio', 'Governance', 'Coinfund Portfolio', 'Alameda Research Portfolio', 'Placeholder Ventures Portfolio', 'Pantera Capital Portfolio', 'Near Protocol Ecosystem', 'Optimism Ecosystem']"
Gala,"['Collectibles & NFTs', 'Play To Earn']"
Audius,"['DAO', 'Coinbase Ventures Portfolio', 'Binance Labs Portfolio', 'Pantera Capital Portfolio', 'Multicoin Capital Portfolio']"
Kusama,"['Substrate', 'CMS Holdings Portfolio', 'Kenetic Capital Portfolio', '1Confirmation Portfolio', 'VBC Ventures Portfolio']"
Qtum,"['Platform', 'Smart Contracts', 'Kenetic Capital Portfolio']"
Ankr,"['Platform', 'DeFi', 'Staking', 'Substrate', 'Pantera Capital Portfolio', 'Celo Ecosystem', 'Liquid Staking Derivatives']"
Gnosis,"['Decentralized Exchange (DEX) Token', 'DeFi', 'Prediction Markets', 'Kenetic Capital Portfolio']"
IoTeX,"['Platform', 'Hashkey Capital Portfolio', 'Kenetic Capital Portfolio']"
Waves,['LPoS']
STEPN,"['Collectibles & NFTs', 'Binance Launchpad', 'Move To Earn']"
Chia,"['PoST', 'Decentralized Exchange (DEX) Token', 'DeFi', 'Smart Contracts', 'DAO', 'DApp']"
Conflux,"['PoW', 'Hybrid - PoW & DPoS']"
Moonbeam,"['Smart Contracts', 'Substrate', 'Binance Labs Portfolio', 'Arrington XRP Capital Portfolio']"
Livepeer,"['Coinfund Portfolio', 'DCG Portfolio', 'Pantera Capital Portfolio', 'Multicoin Capital Portfolio']"
Golem,['Platform']
Kadena,"['PoW', 'Blake2S']"
JUST,['DeFi']
SKALE,"['Platform', 'Scaling', 'Smart Contracts', 'Staking', 'Arrington XRP Capital Portfolio', 'BoostVC Portfolio', 'Galaxy Digital Portfolio', 'Hashkey Capital Portfolio']"
Symbol,['PoS+']
Flux,['PoW']
Siacoin,"['PoW', 'Blake2b']"
ICON,"['Platform', 'Interoperability', 'Smart Contracts', 'Kenetic Capital Portfolio', 'Pantera Capital Portfolio']"
Synapse,"['Interoperability', 'Three Arrows Capital Portfolio', 'Olympus Pro Ecosystem', 'Optimism Ecosystem']"
0x,"['Platform', 'Decentralized Exchange (DEX) Token', 'DeFi', 'Scaling', 'DAO', 'Substrate', 'Polychain Capital Portfolio', 'Governance', 'Blockchain Capital Portfolio', 'BoostVC Portfolio', 'Fabric Ventures Portfolio', 'Kenetic Capital Portfolio', 'Placeholder Ventures Portfolio', 'Pantera Capital Portfolio']"
Hive,['DPoS']
Ontology,"['Metaverse', 'Huobi Capital Portfolio', 'Near Protocol Ecosystem']"
IOST,['Huobi Capital Portfolio']
SafePal,"['Wallet', 'Binance Launchpad']"
Horizen,['PoW']
Illuvium,"['Collectibles & NFTs', 'DAO', 'Metaverse', 'Play To Earn']"
BORA,"['Marketplace', 'Gaming']"
Biconomy,"['Platform', 'Interoperability', 'Coinbase Ventures Portfolio', 'Binance Labs Portfolio', 'Fenbushi Capital Portfolio', 'MVB']"
Solar,"['DeFi', 'Wallet', 'Binance Labs Portfolio', 'Alameda Research Portfolio']"
WAX,"['Collectibles & NFTs', 'Metaverse', 'Galaxy Digital Portfolio', 'Kenetic Capital Portfolio', 'Play To Earn', 'OKEx Blockdream Ventures Portfolio']"
MetisDAO,"['Zero Knowledge Proofs', 'Scaling', 'Rollups', 'OKEx Blockdream Ventures Portfolio', 'MetisDAO Ecosystem']"
Polymath,"['Marketplace', 'Crowdfunding']"
Storj,"['Platform', 'Storage']"
DigiByte,"['PoW', 'Multiple algorithms']"
Syscoin,['PoW']
Lisk,['DPoS']
UMA,"['DeFi', 'Derivatives', 'Oracles', 'DAO', 'Coinbase Ventures Portfolio', 'Governance', 'Blockchain Capital Portfolio', 'DragonFly Capital Portfolio', 'Placeholder Ventures Portfolio']"
Chromia,"['Platform', 'Collectibles & NFTs', 'DeFi', 'Metaverse', 'Chromia Ecosystem']"
PlayDapp,['Metaverse']
APENFT,['Collectibles & NFTs']
MediBloc,"['Health', 'Cosmos Ecosystem']"
aelf,"['Arrington XRP Capital Portfolio', 'Huobi Capital Portfolio']"
Secret,"['DeFi', 'Privacy']"
